13	13	13	10	13
11	11	8	10	10
10	12	9	12	10
11	10	15	14	10
11	8	13	11	14
15	10	11	10	15
10	9	14	9	11
9	11	13	16	12
13	11	10	11	11
9	7	9	11	9
9	13	13	12	11
8	10	9	11	12
9	13	14	13	10
10	8	11	12	12
11	8	11	12	7
8	11	9	13	9
7	12	8	11	7
12	8	12	11	12
8	15	8	9	11
10	11	8	13	8
11	12	8	8	10
8	11	14	11	10
12	12	12	9	13
12	14	12	10	10
10	12	9	13	8
9	13	9	9	10
12	12	10	11	9
14	11	9	7	11
8	11	7	10	12
8	13	12	14	11
13	13	9	12	8
11	7	13	13	12
14	10	13	10	11
11	11	13	8	9
13	9	10	13	13
10	9	10	11	9
11	11	13	13	11
11	13	12	10	12
10	8	11	11	13
10	11	12	9	10
12	13	10	14	9
13	13	12	12	8
8	10	8	12	10
11	11	10	8	11
9	11	11	10	12
13	11	10	9	11
10	13	13	12	8
12	12	13	10	8
10	9	11	11	11
16	17	11	11	11
10	12	13	13	11
9	12	13	10	12
11	10	8	8	12
11	9	9	8	12
11	9	12	8	11
12	8	10	11	14
12	9	11	9	13
13	9	13	10	11
12	11	13	11	10
11	14	9	12	9
9	8	13	12	12
13	11	13	11	11
10	9	11	12	10
8	12	10	13	9
12	9	9	10	9
12	11	11	10	9
12	12	8	8	8
10	11	13	8	11
10	12	9	11	13
10	13	11	10	7
14	12	12	11	13
13	11	12	10	10
13	10	12	10	7
11	13	7	11	11
8	11	11	9	11
9	10	11	10	14
8	9	13	11	12
9	12	10	9	13
11	12	6	11	10
10	12	10	11	11
12	10	12	14	9
13	13	11	11	9
5	11	8	11	12
10	13	11	11	12
7	9	14	7	13
12	11	14	13	11
10	8	11	12	9
12	12	10	16	11
14	9	12	14	9
11	14	13	7	11
11	10	10	12	9
13	6	9	7	9
9	11	12	13	13
14	11	12	13	10
10	17	9	8	14
11	10	11	13	11
9	7	14	12	10
11	11	9	11	12
10	12	11	11	11
14	11	10	7	9
