16	14	17	12	14	18	17	10	12	17	16	14	10	15	12	14	12	13	21	17	12	13	17	13	11	15	14	12	16	15	13	12	14	14	15	13	13	12	15	13	14	12	11	15	16	17	10	15	14	11	14	8	16	11	11	14	12	12	16	18	13	11	13	18	11	14	11	11	11	16	18	12	14	18	14	12	12	15	16	13	13	6	16	13	11	19	20	16	17	14	11	14	13	10	13	13	14	16	8	13
15	15	19	12	10	17	16	12	15	15	12	14	15	15	15	12	15	13	14	14	10	16	14	13	13	11	13	13	17	14	17	15	17	12	9	12	11	15	15	13	13	11	14	11	15	17	13	14	10	14	14	16	15	16	18	16	16	7	13	13	13	14	15	18	11	13	14	13	11	15	17	14	13	14	11	13	14	17	16	15	14	8	11	10	13	19	15	12	16	14	15	16	12	13	11	10	12	12	13	18
13	14	16	11	10	13	9	15	15	14	15	15	13	14	16	16	12	16	15	12	19	16	19	12	11	14	11	10	15	14	15	17	14	13	14	13	17	14	14	17	10	15	11	14	15	19	13	14	11	15	15	10	17	12	14	11	14	14	14	14	13	10	18	14	13	9	17	14	13	13	13	10	10	18	13	13	12	12	13	14	18	13	11	13	10	11	16	8	16	13	18	13	9	17	14	15	18	17	13	15
10	14	12	14	15	16	18	17	16	12	14	11	12	10	12	9	10	18	12	11	15	10	15	13	15	14	16	13	18	11	16	13	15	16	16	21	19	15	12	9	18	15	13	14	13	13	13	10	14	10	10	12	14	11	17	12	15	12	16	14	16	15	15	16	13	14	20	16	12	14	13	15	13	14	14	11	10	16	9	14	18	11	14	13	14	16	11	14	14	13	15	12	15	12	16	15	14	18	18	19
12	21	14	14	12	14	14	13	12	11	14	15	6	17	13	11	19	14	15	14	13	15	13	17	12	14	18	11	11	15	15	15	12	12	12	16	11	17	18	9	13	14	12	17	15	10	20	11	13	18	12	13	17	15	14	15	13	13	13	15	15	11	17	15	11	13	8	12	11	10	15	17	11	9	12	12	11	17	11	21	11	9	14	14	13	14	12	16	13	10	11	13	10	18	16	12	18	14	11	13
15	16	14	13	11	15	15	16	15	15	13	17	15	14	15	18	8	13	18	14	11	15	9	13	16	18	12	17	15	10	15	10	7	15	12	13	17	10	13	14	15	17	15	12	17	12	11	12	14	12	9	14	19	13	12	11	13	13	11	11	16	18	7	13	14	14	10	9	12	16	14	16	12	12	16	16	13	14	14	14	13	11	11	21	14	15	13	12	13	13	11	13	14	10	13	17	14	15	13	15
11	13	18	12	17	20	13	13	13	12	10	10	14	15	13	16	10	13	18	16	14	14	8	12	16	13	10	12	13	15	13	15	16	11	15	16	12	14	17	13	11	13	19	19	11	14	14	17	15	10	15	16	11	17	12	11	16	12	19	9	11	18	18	12	15	11	15	17	9	10	14	16	13	13	13	18	21	12	14	17	10	14	13	16	11	18	13	16	13	12	14	20	12	12	15	16	8	15	11	10
15	9	12	15	16	14	13	8	13	14	17	15	12	17	13	16	13	13	10	14	10	11	13	12	14	15	12	15	15	17	10	14	11	11	17	14	12	16	13	18	16	13	15	15	14	14	12	15	11	11	11	10	10	13	13	14	15	17	16	13	13	11	10	12	14	9	15	11	12	17	11	12	9	13	12	17	12	17	16	16	14	11	10	11	13	16	16	11	16	12	13	14	11	12	17	18	11	10	13	16
12	13	10	12	14	17	13	14	12	16	15	15	14	10	12	12	15	10	14	16	13	9	14	16	14	14	13	12	8	20	13	12	14	15	13	16	12	14	14	13	16	11	17	14	15	16	16	17	14	14	14	11	13	16	15	21	12	13	10	12	11	15	17	16	14	14	14	16	18	14	13	15	14	17	18	9	16	21	11	12	14	15	15	14	14	15	13	14	14	19	16	16	11	10	9	15	10	12	14	12
14	15	15	11	17	10	16	19	20	15	13	12	11	14	16	10	12	13	14	12	11	13	17	16	15	16	18	12	13	14	17	13	16	17	12	12	13	11	16	11	14	14	13	15	9	13	10	11	15	14	13	14	11	12	18	15	15	16	14	12	17	13	17	15	13	18	13	14	12	15	14	16	11	12	9	13	15	13	16	11	13	12	14	14	19	14	10	11	13	14	17	16	15	14	10	10	11	13	13	15
